ext_invoice_key,ext_customer_key,invoice_date,amount,currency,status,source_system,inserted_at
INV0001,CUST039,2024-05-17,4720.26,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0002,CUST029,2024-02-01,1683.69,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0003,CUST015,2024-08-24,2642.07,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0004,CUST043,2024-04-06,3544.79,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0005,CUST008,2024-01-21,1881.79,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0006,CUST021,2024-05-21,4861.73,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0007,CUST039,2024-03-16,4815.99,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0008,CUST019,2024-07-31,1333.73,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0009,CUST023,2024-06-09,2536.52,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0010,CUST011,2024-06-07,1574.3,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0011,CUST011,2024-08-14,1495.72,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0012,CUST024,2024-08-08,280.75,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0013,CUST036,2024-04-02,3086.87,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0014,CUST040,2024-05-27,2563.13,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0015,CUST024,2024-02-19,352.25,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0016,CUST003,2024-06-29,1465.37,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0017,CUST022,2024-01-18,4550.5,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0018,CUST002,2024-01-12,1273.85,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0019,CUST024,2024-06-18,809.98,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0020,CUST044,2024-02-28,2498.32,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0021,CUST030,2024-07-16,4929.69,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0022,CUST038,2024-03-15,1286.07,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0023,CUST002,2024-01-21,3393.46,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0024,CUST021,2024-08-06,3831.94,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
