EXCEPTION_ID,EXT_INVOICE_KEY,CUSTOMER_ID,ISSUE_TYPE,ISSUE_DETAILS,SUGGESTED_ACTION,RESOLVED,RUN_AT,RUN_ID
cd298026-428f-40eb-b0f0-0780a8edd7c1,INV0009,23,OVERPAYMENT,"Invoice amount = 2537, Payments = 14677, Difference = -12140",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
e4896b97-6b1b-420b-b8b9-283de269521f,INV0025,33,OVERPAYMENT,"Invoice amount = 1264, Payments = 14061, Difference = -12797",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
859018fe-3325-4f80-b77a-bd11a5e4850c,INV0027,22,OVERPAYMENT,"Invoice amount = 1902, Payments = 8950, Difference = -7047",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
e0a6e7e0-2bd7-40a2-8a5a-50f372dd9c31,INV0056,44,OVERPAYMENT,"Invoice amount = 1285, Payments = 7350, Difference = -6065",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
888e0958-8196-49df-bcd6-5b5808b21ebb,INV0060,14,OVERPAYMENT,"Invoice amount = 3202, Payments = 10126, Difference = -6924",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
9e837c00-5fbf-4243-9c81-783496451d6c,INV0100,7,PARTIAL_PAYMENT,"Invoice amount = 2513, Payments = 1987, Difference = 526",Review outstanding balance and initiate collection,FALSE,2025-09-17T01:56:47.34Z,
a0b13140-be64-4105-a125-1f720fe16b92,INV0097,45,OVERPAYMENT,"Invoice amount = 3995, Payments = 17344, Difference = -13350",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
0423f94f-17c2-437f-8129-a829a77de9a3,INV0160,39,OVERPAYMENT,"Invoice amount = 1865, Payments = 6971, Difference = -5106",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
06af972b-7d2c-433f-bc35-2437d6c3e9d1,INV0007,39,OVERPAYMENT,"Invoice amount = 4816, Payments = 6971, Difference = -2155",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
bc7a6384-0cd9-437d-a43e-ebee3a77f3f8,INV0012,24,OVERPAYMENT,"Invoice amount = 281, Payments = 9907, Difference = -9626",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
88f605ac-8280-4f22-8ea7-394dfcbd53a2,INV0123,33,OVERPAYMENT,"Invoice amount = 4687, Payments = 14061, Difference = -9374",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
534a11fc-0019-4a7c-a996-090bc87c83e7,INV0077,14,OVERPAYMENT,"Invoice amount = 2789, Payments = 10126, Difference = -7337",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
78b0200e-1d36-409a-a7ae-18ea98f89ce3,INV0138,14,OVERPAYMENT,"Invoice amount = 4070, Payments = 10126, Difference = -6056",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
68c1c993-c578-4a38-b127-1740838033e6,INV0183,25,OVERPAYMENT,"Invoice amount = 2104, Payments = 13968, Difference = -11865",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
028ae0cc-d408-4141-b838-b13068293f26,INV0045,4,PARTIAL_PAYMENT,"Invoice amount = 4690, Payments = 3887, Difference = 803",Review outstanding balance and initiate collection,FALSE,2025-09-17T01:56:47.34Z,
205cbbdb-62ca-44c4-9dea-66061a1dc47a,INV0091,26,OVERPAYMENT,"Invoice amount = 1399, Payments = 15116, Difference = -13716",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
a22d90ab-e855-4aa5-b3d5-2b62db597a56,INV0098,1,OVERPAYMENT,"Invoice amount = 2563, Payments = 13526, Difference = -10963",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
d966b5b7-1463-4f8b-8475-f79148cce3ab,INV0126,24,OVERPAYMENT,"Invoice amount = 576, Payments = 9907, Difference = -9331",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
abd16a08-4fcc-4680-b742-1ea824c1124f,INV0175,28,OVERPAYMENT,"Invoice amount = 3996, Payments = 4650, Difference = -654",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
048c3c9c-dc74-4954-a29e-726b73276480,INV0002,29,OVERPAYMENT,"Invoice amount = 1684, Payments = 20817, Difference = -19133",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
a0e9fb9d-e7af-467f-ac98-9fea3a80c97a,INV0013,36,OVERPAYMENT,"Invoice amount = 3087, Payments = 12156, Difference = -9069",Check for duplicate/refund required,FALSE,2025-09-17T01:56:47.34Z,
