RECON_ID,EXT_INVOICE_KEY,CUSTOMER_ID,INVOICE_AMOUNT,PAYMENT_TOTAL,DIFFERENCE,MATCH_STATUS,RUN_AT,RUN_ID,RUN_LABEL
b2a5bfa8-218c-4ecf-bbc2-7ed05925954c,INV0009,23,2537,14677,-12140,OVERPAID,2025-09-17T01:56:47.34Z,,
588cd948-3c8c-4122-8430-4627eabb515e,INV0025,33,1264,14061,-12797,OVERPAID,2025-09-17T01:56:47.34Z,,
d17aab2c-c79a-4492-a9e0-4c8e59331ef1,INV0027,22,1902,8950,-7047,OVERPAID,2025-09-17T01:56:47.34Z,,
ebb9756f-85ba-4e87-87f2-ab57465fa075,INV0056,44,1285,7350,-6065,OVERPAID,2025-09-17T01:56:47.34Z,,
ca425504-55c8-4637-a8d1-4a042da31d15,INV0060,14,3202,10126,-6924,OVERPAID,2025-09-17T01:56:47.34Z,,
6a2d1595-6abe-4864-aa88-6b7721dbbbe6,INV0100,7,2513,1987,526,PARTIAL,2025-09-17T01:56:47.34Z,,
fb9a7b73-221c-4073-9849-37949a7a7db4,INV0097,45,3995,17344,-13350,OVERPAID,2025-09-17T01:56:47.34Z,,
192a8e5a-1155-4c3b-8ed9-353bca936c62,INV0160,39,1865,6971,-5106,OVERPAID,2025-09-17T01:56:47.34Z,,
df00d639-f41c-41e6-8f9b-6ea2feaa25cf,INV0007,39,4816,6971,-2155,OVERPAID,2025-09-17T01:56:47.34Z,,
87337e48-a723-48c0-a1cd-afd3ed148298,INV0012,24,281,9907,-9626,OVERPAID,2025-09-17T01:56:47.34Z,,
1dda6112-c6b2-4f1e-8b05-298e8ccae3b4,INV0123,33,4687,14061,-9374,OVERPAID,2025-09-17T01:56:47.34Z,,
0a20d862-9b75-409e-b060-74de3f627cfe,INV0077,14,2789,10126,-7337,OVERPAID,2025-09-17T01:56:47.34Z,,
65a0bf73-d6b7-40d2-9354-2f8e2754d780,INV0138,14,4070,10126,-6056,OVERPAID,2025-09-17T01:56:47.34Z,,
89a33eb7-e189-4187-93d9-b1a044461152,INV0183,25,2104,13968,-11865,OVERPAID,2025-09-17T01:56:47.34Z,,
dc191870-130b-4a11-9e39-e3c20e1f2af0,INV0045,4,4690,3887,803,PARTIAL,2025-09-17T01:56:47.34Z,,
85760a64-9267-4f6c-b190-0116c17f99da,INV0091,26,1399,15116,-13716,OVERPAID,2025-09-17T01:56:47.34Z,,
7dc9117c-a01f-40a3-b0ce-d5a0f836a2f3,INV0098,1,2563,13526,-10963,OVERPAID,2025-09-17T01:56:47.34Z,,
d93830bb-ac6f-47c9-8ec2-504fc775599b,INV0126,24,576,9907,-9331,OVERPAID,2025-09-17T01:56:47.34Z,,
824690ea-0d8c-40f3-bf78-ec24944a7d44,INV0175,28,3996,4650,-654,OVERPAID,2025-09-17T01:56:47.34Z,,
39eb2d13-1d4a-4191-b1e2-9d8567a5e64d,INV0002,29,1684,20817,-19133,OVERPAID,2025-09-17T01:56:47.34Z,,
510c1a65-250e-42eb-aea7-b83952c7ee94,INV0013,36,3087,12156,-9069,OVERPAID,2025-09-17T01:56:47.34Z,,
7fd5526f-bbe0-411a-9820-278c396f4152,INV0020,44,2498,7350,-4852,OVERPAID,2025-09-17T01:56:47.34Z,,
7cabded5-7923-4827-a4fe-a111241327b8,INV0070,29,4503,20817,-16314,OVERPAID,2025-09-17T01:56:47.34Z,,
2009e244-0cc2-4572-a10c-3e0faaaadd98,INV0083,23,1694,14677,-12982,OVERPAID,2025-09-17T01:56:47.34Z,,
cb0b1015-9935-477c-bfb0-807124cce5b2,INV0150,42,561,9211,-8650,OVERPAID,2025-09-17T01:56:47.34Z,,
a607d15e-b849-4423-9911-2d61aaad84d0,INV0163,43,3873,14260,-10387,OVERPAID,2025-09-17T01:56:47.34Z,,
3eeee212-4acd-45ac-9af8-b1bb2918f430,INV0112,33,4649,14061,-9413,OVERPAID,2025-09-17T01:56:47.34Z,,
c9d391e2-7cca-4259-ba30-80f53ca206b8,INV0088,18,2885,4928,-2044,OVERPAID,2025-09-17T01:56:47.34Z,,
4e9b7a9c-f263-4ee8-985e-8113bbffe4fa,INV0121,12,931,0,931,UNPAID,2025-09-17T01:56:47.34Z,,
31f44cb5-1e3f-43c4-bbf2-6ee81dcd10ff,INV0133,35,3515,6426,-2910,OVERPAID,2025-09-17T01:56:47.34Z,,
0d81a5d3-0e85-4457-a394-e0d27591bbb7,INV0050,26,4399,15116,-10717,OVERPAID,2025-09-17T01:56:47.34Z,,
487e6c11-e8ba-47c9-8e82-3ea37a9d3d88,INV0102,24,3640,9907,-6267,OVERPAID,2025-09-17T01:56:47.34Z,,
52029b82-6867-4ce5-b297-f41c607d7760,INV0144,39,3285,6971,-3686,OVERPAID,2025-09-17T01:56:47.34Z,,
31aaf232-5ae4-4e54-b5fe-622b1d8702c8,INV0171,2,3658,20312,-16655,OVERPAID,2025-09-17T01:56:47.34Z,,
17e6d19b-bf2d-412b-b4a5-1699dedb4d19,INV0179,20,224,7071,-6846,OVERPAID,2025-09-17T01:56:47.34Z,,
e258227a-ef81-458a-9d95-57a5bee16090,INV0198,42,3813,9211,-5397,OVERPAID,2025-09-17T01:56:47.34Z,,
ad076901-68d1-4e22-9785-2111f8fcb4e4,INV0118,7,1987,1987,0,MATCHED,2025-09-17T01:56:47.34Z,,
df12c53e-71d1-47f8-9fd5-d1a95403b675,INV0122,34,2828,14664,-11836,OVERPAID,2025-09-17T01:56:47.34Z,,
542100d5-329b-4d77-b8dd-5768d29b870e,INV0141,5,2606,9200,-6594,OVERPAID,2025-09-17T01:56:47.34Z,,
00cc9bb2-a3c3-43ca-8f3a-362fdc16b85c,INV0127,37,3114,6715,-3601,OVERPAID,2025-09-17T01:56:47.34Z,,
246cfee2-3208-4632-9169-4a60afafd922,INV0129,44,786,7350,-6564,OVERPAID,2025-09-17T01:56:47.34Z,,
7935a891-86b0-4e9a-8bb7-e5370b5c3481,INV0142,26,2557,15116,-12559,OVERPAID,2025-09-17T01:56:47.34Z,,
fadc292d-9cb4-44d1-bc82-ab8e0eedd56a,INV0161,45,723,17344,-16622,OVERPAID,2025-09-17T01:56:47.34Z,,
affe5e25-0d86-44bf-b7fd-60b9d266848f,INV0145,27,3540,9428,-5889,OVERPAID,2025-09-17T01:56:47.34Z,,
e1c0f65d-2ec8-457b-9489-f04a762d7074,INV0001,39,4720,6971,-2251,OVERPAID,2025-09-17T01:56:47.34Z,,
c3fa4359-a8ec-4913-8e94-c8e97e9f80e4,INV0006,21,4862,8156,-3295,OVERPAID,2025-09-17T01:56:47.34Z,,
3f14961f-e2a3-4671-93c5-df961c862c39,INV0010,11,1574,5692,-4118,OVERPAID,2025-09-17T01:56:47.34Z,,
a29a6c8c-48b8-47d4-ad77-17255ae2dd9d,INV0030,49,2725,13511,-10785,OVERPAID,2025-09-17T01:56:47.34Z,,
75f72ba9-da02-40f0-bda7-1396e16024b3,INV0037,44,3420,7350,-3930,OVERPAID,2025-09-17T01:56:47.34Z,,
6a8d9b8e-d26c-4a6d-8c3a-c00b57fbe4e1,INV0065,4,4447,3887,560,PARTIAL,2025-09-17T01:56:47.34Z,,
e8ec8242-1cfb-4dfb-8f61-d09d512bc9b9,INV0158,37,283,6715,-6432,OVERPAID,2025-09-17T01:56:47.34Z,,
320f0ca1-8da8-4d51-8305-41e0b3fd9149,INV0177,44,2251,7350,-5099,OVERPAID,2025-09-17T01:56:47.34Z,,
58064566-3c21-44cd-91c0-5cbccc4e9853,INV0132,27,3730,9428,-5699,OVERPAID,2025-09-17T01:56:47.34Z,,
e384a151-a65e-4e7a-9465-549c2a504252,INV0146,9,3999,7653,-3654,OVERPAID,2025-09-17T01:56:47.34Z,,
fc751b04-9d1d-47fa-b66e-983af613b6d9,INV0052,20,3334,7071,-3737,OVERPAID,2025-09-17T01:56:47.34Z,,
3e509a0c-633b-476a-b9a8-aa60c87896b9,INV0048,50,656,7314,-6658,OVERPAID,2025-09-17T01:56:47.34Z,,
61f01002-3173-4dab-83ca-7bc1ae117225,INV0082,14,1263,10126,-8863,OVERPAID,2025-09-17T01:56:47.34Z,,
af798457-44f2-4ac4-8c6c-a9ed14d8d501,INV0149,26,1940,15116,-13176,OVERPAID,2025-09-17T01:56:47.34Z,,
26273e26-107e-421d-8b5a-dc19f85e1f10,INV0151,13,2934,4120,-1186,OVERPAID,2025-09-17T01:56:47.34Z,,
36666610-48ec-49d5-89aa-f18b2a4cd03d,INV0184,39,949,6971,-6022,OVERPAID,2025-09-17T01:56:47.34Z,,
2b2b1b7e-2e26-447e-bd9c-72720dec6296,INV0022,38,1286,7388,-6102,OVERPAID,2025-09-17T01:56:47.34Z,,
d33d8f0c-bccc-4504-98a5-984db07285ef,INV0033,28,1672,4650,-2979,OVERPAID,2025-09-17T01:56:47.34Z,,
4a0bf3d1-10da-42cc-ba64-088f18938e11,INV0054,47,2820,17199,-14378,OVERPAID,2025-09-17T01:56:47.34Z,,
9e9365f4-e3a0-4826-a936-2d7a0ce8df06,INV0166,13,518,4120,-3602,OVERPAID,2025-09-17T01:56:47.34Z,,
810fc265-8c17-4ca8-9c12-07512ab1b0a5,INV0180,30,4817,18714,-13897,OVERPAID,2025-09-17T01:56:47.34Z,,
4f2f452f-cc5c-4e75-bc10-654353da5b8e,INV0137,47,4066,17199,-13133,OVERPAID,2025-09-17T01:56:47.34Z,,
8ef98c45-acf8-46b3-8b36-0eb54819bdcb,INV0003,15,2642,7420,-4778,OVERPAID,2025-09-17T01:56:47.34Z,,
313be765-98b1-4826-8472-0bacf5ae4ad3,INV0008,19,1334,4498,-3164,OVERPAID,2025-09-17T01:56:47.34Z,,
c6d0168a-406a-428e-b797-f601c2b87a70,INV0017,22,4551,8950,-4399,OVERPAID,2025-09-17T01:56:47.34Z,,
9144008f-d891-4314-a4e6-6bd3da32675e,INV0057,8,556,5025,-4469,OVERPAID,2025-09-17T01:56:47.34Z,,
de04c647-1364-4ddc-be02-223de23fc257,INV0120,8,1653,5025,-3373,OVERPAID,2025-09-17T01:56:47.34Z,,
1a029e8d-ef63-48a7-ba90-6cc3b27a62b0,INV0067,6,3246,9668,-6422,OVERPAID,2025-09-17T01:56:47.34Z,,
4a1b7002-a5f3-4f70-834b-4bfda880c098,INV0156,4,2995,3887,-892,OVERPAID,2025-09-17T01:56:47.34Z,,
0974f747-f8b7-4191-9379-6cfb83badca5,INV0023,2,3393,20312,-16919,OVERPAID,2025-09-17T01:56:47.34Z,,
c2a69869-ff72-4204-b7b6-6f22b5cf75b3,INV0046,25,774,13968,-13195,OVERPAID,2025-09-17T01:56:47.34Z,,
9bd857bb-f029-4b13-b7b9-9f81da03b6c1,INV0072,26,145,15116,-14971,OVERPAID,2025-09-17T01:56:47.34Z,,
ae4fbc1a-c1b8-4589-be84-b82008c03b3a,INV0089,47,559,17199,-16640,OVERPAID,2025-09-17T01:56:47.34Z,,
3ab42492-2b82-478b-96e1-6b05c8d6da76,INV0168,7,2704,1987,717,PARTIAL,2025-09-17T01:56:47.34Z,,
68c873e5-ff45-4e0a-8cf8-f7edb1215855,INV0135,35,1862,6426,-4564,OVERPAID,2025-09-17T01:56:47.34Z,,
e32d9add-7c83-4aee-9926-7406e6792523,INV0014,40,2563,26610,-24046,OVERPAID,2025-09-17T01:56:47.34Z,,
919ad9e7-199f-4ee0-bf1e-52332d39216c,INV0041,21,3261,8156,-4895,OVERPAID,2025-09-17T01:56:47.34Z,,
b64bc2fa-f3a3-40e2-81e8-589d1c2d9ad2,INV0073,44,597,7350,-6753,OVERPAID,2025-09-17T01:56:47.34Z,,
270f7bfc-66a9-4355-b02b-b8b676d3ba89,INV0139,3,4349,4584,-235,OVERPAID,2025-09-17T01:56:47.34Z,,
b894653a-d053-4cf7-8b8f-866536c15d27,INV0199,44,171,7350,-7180,OVERPAID,2025-09-17T01:56:47.34Z,,
21b3f84e-d8ac-478e-9d2f-e64f9aecaefc,INV0068,42,512,9211,-8698,OVERPAID,2025-09-17T01:56:47.34Z,,
65d8f2c8-cb4b-40c7-beeb-7e4afe784d09,INV0092,25,1296,13968,-12673,OVERPAID,2025-09-17T01:56:47.34Z,,
7c6f6326-8541-4f6a-bfd9-05432842aceb,INV0099,25,2927,13968,-11042,OVERPAID,2025-09-17T01:56:47.34Z,,
23cf0aa4-179b-4f77-a261-1459540b0e3e,INV0114,42,4837,9211,-4374,OVERPAID,2025-09-17T01:56:47.34Z,,
9d0f7ed8-8658-4973-8419-45fb789f6c06,INV0176,28,1427,4650,-3223,OVERPAID,2025-09-17T01:56:47.34Z,,
61baf5c5-92b6-4571-bf5c-d4603a7f7160,INV0186,1,1326,13526,-12199,OVERPAID,2025-09-17T01:56:47.34Z,,
a2186157-ae99-4e26-8c55-2c42800ee3b5,INV0004,43,3545,14260,-10715,OVERPAID,2025-09-17T01:56:47.34Z,,
ef6a25de-848e-4f6e-beda-a1b77c28a737,INV0015,24,352,9907,-9555,OVERPAID,2025-09-17T01:56:47.34Z,,
e424b041-5d0a-43d9-a421-372d525a5cfc,INV0018,2,1274,20312,-19039,OVERPAID,2025-09-17T01:56:47.34Z,,
d06c982d-56b4-4849-ac6b-08b54fa800a3,INV0035,15,300,7420,-7120,OVERPAID,2025-09-17T01:56:47.34Z,,
eb6d582d-a80c-40ce-ad3d-eb05a11e93ba,INV0049,9,4631,7653,-3022,OVERPAID,2025-09-17T01:56:47.34Z,,
124dab35-93cc-499c-89a7-44e196762937,INV0062,36,1811,12156,-10344,OVERPAID,2025-09-17T01:56:47.34Z,,
ed06cbee-7590-4017-a3bd-53487ae4499d,INV0084,40,3758,26610,-22852,OVERPAID,2025-09-17T01:56:47.34Z,,
524c7fd2-2b54-4a7e-95e0-ffe4e7f8b807,INV0061,17,1761,5284,-3523,OVERPAID,2025-09-17T01:56:47.34Z,,
46399812-7a24-49fd-8ea5-8ffa02d073e5,INV0094,41,2026,0,2026,UNPAID,2025-09-17T01:56:47.34Z,,
a988a2e6-3466-4989-ae0c-6cb09efbcb2b,INV0104,44,219,7350,-7131,OVERPAID,2025-09-17T01:56:47.34Z,,
d43e15f5-6a49-4ffc-84e3-b01395490a51,INV0096,15,3193,7420,-4227,OVERPAID,2025-09-17T01:56:47.34Z,,
fbb7a2aa-7659-4620-961a-bd79b94f3bf9,INV0115,39,4822,6971,-2149,OVERPAID,2025-09-17T01:56:47.34Z,,
258b03aa-69b4-4947-892b-9138a1ebef16,INV0185,33,867,14061,-13195,OVERPAID,2025-09-17T01:56:47.34Z,,
f47f5016-6476-4ca9-97f8-9a96d0e44a54,INV0031,27,542,9428,-8886,OVERPAID,2025-09-17T01:56:47.34Z,,
66e79b2b-4fdb-4cea-a5bb-7ca3c3b217dd,INV0059,35,4512,6426,-1914,OVERPAID,2025-09-17T01:56:47.34Z,,
21b059a2-0dfc-4755-9c51-f3c0d6ee5659,INV0080,15,1199,7420,-6221,OVERPAID,2025-09-17T01:56:47.34Z,,
35185a4e-8109-47d4-9062-d4afa49180e5,INV0095,29,4471,20817,-16346,OVERPAID,2025-09-17T01:56:47.34Z,,
f6e4343f-fe6a-4f2b-9a1c-b35de88ed7ba,INV0109,8,4583,5025,-443,OVERPAID,2025-09-17T01:56:47.34Z,,
